COD	CLASSE	AN	A1	A2	A3	A4	B1	B2	B3	B4
C160	A	7,2	7,3	6	9	6,8	0	0	0	0
C171	A	5,1	7	7,3	6	5	0	0	0	0
C172	RN	1,3	4	1	0,4	0	0	0	0	0
C173	RF	1,1	3,5	1	0	0	0	0	0	0
C174	RF	1,5	3,6	2,6	0	0	0	0	0	0
C175	RF	1,1	2,6	0,8	1,1	0	0	0	0	0
C176	A	7,6	7	4,5	7	7	0	0	0	0
C135	A	5,5	4	2,9	7	7	0	0	0	0
C136	RN	2,9	5	5,3	2,8	7,7	0	0	0	0
C138	RN	2,2	2,7	4	6,4	4,4	0	0	0	0
C139	A	5	5	6	4,9	6,8	0	0	0	0
C141	RF	0					0	0	0	0
C146	RN	2,6	5	2	1	2	0	0	0	0
C144	A	7	8,5	7,1	5,4	7	0	0	0	0
C145	A	7,9	6,1	8,5	9	8	0	0	0	0
C147	A	8,2	8,8	8,1	9	7	0	0	0	0
C148	A	5	2,2	4	6	6,5	0	0	0	0
C150	A	5,1	6,5	2,5	7,5	9	0	0	0	0
C151	A	7	3,8	7,5	8	8,7	0	0	0	0
C046	RF	0	0	0	0	0	0	0	0	0
C136	RN	2,2	5	5,3	2,8	7,7	0	0	0	0
C138	RN	2,2	2,7	4	6,4	4,4	0	0	0	0
C141	A	0					0	0	0	0
C146	A	6,8	5	2	1	2	0	0	0	0
C046	A	7	0	0	0	0	0	0	0	0
C136	A	5	5	5,3	2,8	7,7	10	5	6	4
C138	A	5,6	2,7	4	6,4	4,4	10	6	6	2
C001	A	9,1	9,5	7,5	9,5	9,5	0	0	0	0
C002	A	8,5	9,2	7,6	7,5	9,5	0	0	0	0
C003	A	5	5,3	5	5,7	4,6	0	0	0	0
C004	RN	4,3	2,5	6,3	7	6,8	0	0	0	0
C005	RN	3,7	4,3	3,8	5,4	8,1	0	0	0	0
C006	A	8,3	6,4	8,3	9,3	8,3	0	0	0	0
C007	RN	3,7	5,5	5,9	3,5	5,5	0	0	0	0
C008	A	7,3	7	8	5,3	8	0	0	0	0
C042	D	7,8					0	0	0	0
C056	D	6					0	0	0	0
C004	A	5	6	6	5,2	5,4	0	0	0	0
C006	A	7,6	7,9	6	8,2	7,3	0	0	0	0
C007	RN	4	5,3	5,4	3,4	3,3	0	0	0	0
C012	A	5	6,4	6,6	6	5,5	0	0	0	0
C053	A	8,5	7,7	10	6,6	10	0	0	0	0
C054	A	7	7,3	6,8			0	0	0	0
C055	A	7,7	7,4	8			0	0	0	0
C057	A	7,8	7,5	7,5	7	9,3	4	6	2	2
C052	RN	2,8	4	5,1	3	5,2	6	2	0	6
C058	A	6,4	5,5	5,4	7,1	7,3	8	12	10	6
C044	RN	3,4	5,2	2,2	3,8	6,6	2	0	2	0
C059	RN	4,6	6,9	7,7	3,5	6	4	6	4	6
C037	RN	4,5	2,3	5,6			0	0	0	0
C043	A	7,2	6,6	7,7			0	0	0	0
C013	A	7,8	5	6,5	10	10	4	0	0	0
C014	RN	4,4	4	5,8	3,8	4	2	0	2	0
C015	A	8,4	8,5	6,4	10	8,8	0	0	0	0
C016	A	8	7	5	10	10	0	0	0	0
C017	A	7,3	6,5	7,5	6,5	9	4	4	8	0
C018	A	7	5,2	6,8	9,1	6,9	0	0	0	0
C019	A	5,6	4,7	7,7	8,7	5,7	6	10	12	2
C037	A	7,3	9,8	6,5	9,9	3	0	0	0	0
C029	A	10	10	10	10	10	0	0	0	0
C030	A	7,2	7,5	8,5	6	7	0	0	4	0
C031	A	8,8	7,5	10	8	10	4	0	2	0
C032	RF	1,9	2,7	5,2	0		10	6	36	38
C033	A	7,3	6,5	6,5	7,5	9	2	0	0	0
C034	RF	2,6	4,9	1	4,6	0	10	6	16	28
C035	A	7,2	6,5	8,5	6,9	7	0	0	2	0
C036	A	7,2	8,8	9	7,5	3,5	2	0	0	0
C007	C	0				0	8	0	0	0
C014	C	0					0	0	0	0
C177	RN	0					16	0	0	0
C052	RN	3,1	4	5,1	3	5,2	2	0	0	0
C044	A	5	5,2	2,2	3,8	6,6	0	0	0	0
C059	A	7	7,3	6,6	8	6,4	2	0	0	0
C007	RF	3,1	3,6	3,4	1,4	3	9	24	0	19
C012	D	5					0	0	0	0
C042	D	7					0	0	0	0
C054	D	7,1					0	0	0	0
C004	RN	0	0	0	0	0	0	0	0	0
C006	RF	0	0	0	0	0	0	0	0	0
C053	RF	0	0	0	0	0	0	0	0	0
C007	RF	0	0	0	0	0	0	0	0	0
C055	RF	0	0	0			0	0	0	0
C056	RF	0	0	0			0	0	0	0
C004	RF	3,7	0	0	0	0	26	10	8	4
C006	RF	7,7	0	0	0	0	27	6	4	10
C007	RF	3,8	0	0	0	0	30	10	10	12
C053	A	7,1	0	0	0	0	16	0	4	0
C055	A	5,6	0	0			10	0	0	0
C056	A	7,5	0	0			6	2	0	0
